	id	name	emissions
184	GBR	United Kingdom	486.72
185	USA	United States	5886.610000000001
186	URY	Uruguay	26.279999999999998
187	UZB	Uzbekistan	220.26000000000002
188	VUT	Vanuatu	0.8700000000000001
189	VEN	Venezuela	339.02
190	VNM	Vietnam	323.57
191	WOR	World	50948.98
192	YEM	Yemen	22.19
193	ZMB	Zambia	496.20000000000005
194	ZWE	Zimbabwe	67.03999999999999
